ARREST_KEY,ARREST_DATE,PD_CD,PD_DESC,KY_CD,OFNS_DESC,LAW_CODE,LAW_CAT_CD,ARREST_BORO,ARREST_PRECINCT,JURISDICTION_CODE,AGE_GROUP,PERP_SEX,PERP_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude
173123528,12/31/2017,439,"LARCENY,GRAND FROM OPEN AREAS,UNCLASSIFIED",109,GRAND LARCENY,PL 1553001,F,M,14,0,25-44,M,WHITE HISPANIC,987220.0,212676.0,40.75043076800010,-73.98928217600000
173121851,12/31/2017,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,B,52,0,25-44,M,WHITE HISPANIC,1014313.0,254123.0,40.864140648000000,-73.89131303800000
173121081,12/31/2017,439,"LARCENY,GRAND FROM OPEN AREAS,UNCLASSIFIED",109,GRAND LARCENY,PL 1553004,F,K,90,0,25-44,M,BLACK,998016.0,196598.0,40.70629036500000,-73.95035033100000
173120429,12/31/2017,922,"TRAFFIC,UNCLASSIFIED MISDEMEAN",348,VEHICLE AND TRAFFIC LAWS,VTL0511001,M,Q,106,0,45-64,M,BLACK,1033414.0,188276.0,40.68332257600010,-73.82273802600000
173120428,12/31/2017,339,"LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED",341,PETIT LARCENY,PL 1552500,M,Q,103,0,45-64,M,BLACK,1045673.0,199466.0,40.71395984500000,-73.77843567100000
173120427,12/31/2017,339,"LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED",341,PETIT LARCENY,PL 1552500,M,M,17,0,25-44,M,BLACK,992033.0,214074.0,40.754264999000000,-73.97190956200000
173120424,12/31/2017,503,"CONTROLLED SUBSTANCE,INTENT TO SELL 3",117,DANGEROUS DRUGS,PL 2201601,F,M,6,0,25-44,M,BLACK,984037.0,205508.0,40.730756883000000,-74.00076997600000
173120423,12/31/2017,113,"MENACING,UNCLASSIFIED",344,ASSAULT 3 & RELATED OFFENSES,PL 1201500,M,K,67,0,45-64,M,BLACK,1003257.0,177086.0,40.65272464900010,-73.93150216299990
173119700,12/31/2017,397,"ROBBERY,UNCLASSIFIED,OPEN AREAS",105,ROBBERY,PL 1600500,F,Q,103,0,25-44,M,BLACK HISPANIC,1041879.0,197084.0,40.707447364000100,-73.79214176800000
173117783,12/31/2017,114,OBSTR BREATH/CIRCUL,344,ASSAULT 3 & RELATED OFFENSES,PL 121110A,M,B,44,0,25-44,M,WHITE HISPANIC,1008274.0,245226.0,40.83973953100010,-73.91317803200000
173116543,12/31/2017,244,"BURGLARY,UNCLASSIFIED,UNKNOWN TIME",107,BURGLARY,PL 1402000,F,Q,106,0,<18,M,WHITE HISPANIC,1026310.0,186741.0,40.67914596100010,-73.84836140200000
173116539,12/31/2017,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,Q,105,0,25-44,F,WHITE HISPANIC,1057302.0,184509.0,40.672818144000100,-73.73664983700000
173116274,12/31/2017,244,"BURGLARY,UNCLASSIFIED,UNKNOWN TIME",107,BURGLARY,PL 1402000,F,Q,106,0,<18,M,WHITE HISPANIC,1026285.0,187525.0,40.681297980000100,-73.84844664400000
173116152,12/31/2017,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,M,1,0,25-44,M,BLACK,982383.0,198038.0,40.71025333400010,-74.00673572899990
173116146,12/31/2017,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,B,47,0,25-44,F,BLACK,1023210.0,257960.0,40.874637248000100,-73.859124964
173115855,12/31/2017,905,"INTOXICATED DRIVING,ALCOHOL",347,INTOXICATED & IMPAIRED DRIVING,VTL11920U2,M,Q,104,0,45-64,M,WHITE HISPANIC,1013640.0,206072.0,40.73225610200010,-73.89395646799990
173113527,12/31/2017,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,Q,105,0,25-44,M,BLACK,1054680.0,205284.0,40.72986167100000,-73.74588480300000
173129120,12/31/2017,750,RESISTING ARREST,359,OFFENSES AGAINST PUBLIC ADMINISTRATION,PL 2053000,M,B,43,0,25-44,M,WHITE HISPANIC,1017824.0,238944.0,40.822466113000100,-73.87869553400000
173129122,12/31/2017,397,"ROBBERY,UNCLASSIFIED,OPEN AREAS",105,ROBBERY,PL 1600500,F,B,43,0,25-44,M,WHITE HISPANIC,1022022.0,240901.0,40.827820563000000,-73.86351678499990
173129126,12/31/2017,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,K,78,0,45-64,F,BLACK,990287.0,184429.0,40.672897902000000,-73.97823813600000
173129247,12/31/2017,397,"ROBBERY,UNCLASSIFIED,OPEN AREAS",105,ROBBERY,PL 1600500,F,B,42,2,<18,M,BLACK,1012076.0,239818.0,40.82488497200010,-73.89945993700000
173113521,12/31/2017,478,"THEFT OF SERVICES, UNCLASSIFIED",343,OTHER OFFENSES RELATED TO THEFT,PL 1651503,M,M,19,1,25-44,F,WHITE HISPANIC,995369.0,221138.0,40.77365029300010,-73.95985695200000
173114444,12/31/2017,258,"CRIMINAL MISCHIEF 4TH, GRAFFITI",351,CRIMINAL MISCHIEF & RELATED OFFENSES,PL 1456002,M,B,40,0,18-24,M,WHITE HISPANIC,1006075.0,236932.0,40.81698058400010,-73.92115225500000
173114460,12/31/2017,478,"THEFT OF SERVICES, UNCLASSIFIED",343,OTHER OFFENSES RELATED TO THEFT,PL 1651503,M,M,24,0,25-44,M,BLACK,992586.0,227883.0,40.79216659000010,-73.96989644099990
173115841,12/31/2017,258,"CRIMINAL MISCHIEF 4TH, GRAFFITI",351,CRIMINAL MISCHIEF & RELATED OFFENSES,PL 1456002,M,K,66,0,25-44,M,WHITE,990399.0,164172.0,40.61729672100010,-73.97785283799990
173115846,12/31/2017,567,"MARIJUANA, POSSESSION 4 & 5",235,DANGEROUS DRUGS,PL 2211500,M,K,79,0,25-44,M,BLACK,998034.0,188480.0,40.68400831000000,-73.95030201899990
173116026,12/31/2017,114,OBSTR BREATH/CIRCUL,344,ASSAULT 3 & RELATED OFFENSES,PL 121110A,M,B,46,0,18-24,M,BLACK,1012078.0,252019.0,40.85837313300000,-73.89940208400000
173116029,12/31/2017,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,B,49,0,25-44,M,WHITE HISPANIC,1021177.0,247658.0,40.84637012600010,-73.86653288799990
173116030,12/31/2017,905,"INTOXICATED DRIVING,ALCOHOL",347,INTOXICATED & IMPAIRED DRIVING,VTL119202X,M,K,77,0,25-44,M,WHITE HISPANIC,1004127.0,182891.0,40.668656183000000,-73.92834966200000
173117787,12/31/2017,748,"CONTEMPT,CRIMINAL",359,OFFENSES AGAINST PUBLIC ADMINISTRATION,PL 2155003,M,M,30,0,25-44,M,WHITE HISPANIC,999357.0,238995.0,40.82265698000000,-73.94541834400000
173119054,12/31/2017,922,"TRAFFIC,UNCLASSIFIED MISDEMEAN",348,VEHICLE AND TRAFFIC LAWS,VTL0511001,M,M,33,0,25-44,M,WHITE HISPANIC,1000478.0,248304.0,40.848205506000100,-73.94134553899990
173122745,12/31/2017,339,"LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED",341,PETIT LARCENY,PL 1552500,M,M,14,0,25-44,M,WHITE,987655.0,212901.0,40.751048180000100,-73.98771206700000
173123523,12/31/2017,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,K,79,0,65,F,WHITE,1000245.0,187997.0,40.68267886600010,-73.94233121199990
173124311,12/31/2017,109,"ASSAULT 2,1,UNCLASSIFIED",106,FELONY ASSAULT,PL 1200506,F,B,43,0,45-64,M,WHITE HISPANIC,1018624.0,241853.0,40.83044740700010,-73.87579016200000
173128425,12/31/2017,922,"TRAFFIC,UNCLASSIFIED MISDEMEAN",348,VEHICLE AND TRAFFIC LAWS,VTL0511001,M,B,48,0,18-24,M,WHITE HISPANIC,1016402.0,247804.0,40.84678953000010,-73.88379087700000
173127014,12/31/2017,259,"MISCHIEF,CRIMINAL     UNCLASSIFIED 4TH DEG",351,CRIMINAL MISCHIEF & RELATED OFFENSES,PL 1450001,M,Q,104,0,25-44,M,WHITE,1017324.0,198914.0,40.712596129000100,-73.88069905100000
173127011,12/31/2017,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,Q,101,0,25-44,M,WHITE HISPANIC,1044074.0,156299.0,40.59548717900000,-73.78458649100000
173116154,12/31/2017,339,"LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED",341,PETIT LARCENY,PL 1552500,M,M,20,0,45-64,M,WHITE,991040.0,225092.0,40.78450736500000,-73.97548255700000
173134156,12/31/2017,905,"INTOXICATED DRIVING,ALCOHOL",347,INTOXICATED & IMPAIRED DRIVING,VTL11920U3,M,Q,115,0,18-24,M,WHITE HISPANIC,1020498.0,217613.0,40.76390776800000,-73.86914926700000
173113507,12/31/2017,922,"TRAFFIC,UNCLASSIFIED MISDEMEANOR",348,VEHICLE AND TRAFFIC LAWS,VTL05110A2,M,B,46,0,25-44,M,BLACK HISPANIC,1014295.0,253237.0,40.86170890900010,-73.89138208600000
173113508,12/31/2017,113,"MENACING,UNCLASSIFIED",344,ASSAULT 3 & RELATED OFFENSES,PL 1201401,M,B,48,0,25-44,M,WHITE,1015457.0,250526.0,40.854263999000100,-73.88719382300000
173114445,12/31/2017,258,"CRIMINAL MISCHIEF 4TH, GRAFFITI",351,CRIMINAL MISCHIEF & RELATED OFFENSES,PL 1456002,M,B,40,0,18-24,M,BLACK HISPANIC,1006075.0,236932.0,40.81698058400010,-73.92115225500000
173114455,12/31/2017,969,"TRAFFIC,UNCLASSIFIED INFRACTION",881,OTHER TRAFFIC INFRACTION,VTL051101A,M,K,90,0,65,M,BLACK,999153.0,195479.0,40.70321713100000,-73.94625188399990
173116035,12/31/2017,922,"TRAFFIC,UNCLASSIFIED MISDEMEAN",348,VEHICLE AND TRAFFIC LAWS,VTL0511001,M,M,30,0,45-64,M,WHITE HISPANIC,998981.0,242209.0,40.83147912800010,-73.94676981299990
173116039,12/31/2017,681,"CHILD, ENDANGERING WELFARE",233,SEX CRIMES,PL 2601001,M,Q,115,0,25-44,M,WHITE HISPANIC,1018699.0,215043.0,40.75686097700000,-73.87565666400000
173116271,12/31/2017,478,"THEFT OF SERVICES, UNCLASSIFIED",343,OTHER OFFENSES RELATED TO THEFT,PL 1651502,M,M,14,0,18-24,M,ASIAN / PACIFIC ISLANDER,987404.0,215746.0,40.75885707500000,-73.98861664700000
173124320,12/31/2017,339,"LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED",341,PETIT LARCENY,PL 1552500,M,Q,104,0,25-44,F,WHITE,1010150.0,194348.0,40.70008745000010,-73.90659418000000
173116540,12/31/2017,779,"PUBLIC ADMINISTRATION,UNCLASSIFIED FELONY",126,MISCELLANEOUS PENAL LAW,PL 2155100,F,Q,100,0,25-44,F,WHITE HISPANIC,1034278.0,159535.0,40.60443003300000,-73.81983596700000
173117301,12/31/2017,750,RESISTING ARREST,359,OFFENSES AGAINST PUBLIC ADMINISTRATION,PL 2053000,M,B,46,0,25-44,M,BLACK HISPANIC,1007610.0,250032.0,40.85293236500010,-73.91556100299990
173121077,12/31/2017,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200002,M,B,43,0,25-44,M,BLACK,1019071.0,240911.0,40.82786013700010,-73.87417980899990
173121080,12/31/2017,263,"ARSON 2,3,4",114,ARSON,PL 1500501,F,K,67,71,45-64,M,BLACK HISPANIC,996876.0,177505.0,40.65388611000000,-73.95449784400000
173121853,12/31/2017,759,"PUBLIC ADMINISTATION,UNCLASS MISDEMEAN 4",359,OFFENSES AGAINST PUBLIC ADMINISTRATION,PL 2052001,M,B,41,72,25-44,F,WHITE HISPANIC,1017934.0,232221.0,40.804012949000000,-73.87833183299990
173122737,12/31/2017,922,"TRAFFIC,UNCLASSIFIED MISDEMEAN",348,VEHICLE AND TRAFFIC LAWS,VTL0511001,M,K,68,0,25-44,M,WHITE,977236.0,171575.0,40.63761575800000,-74.02527345399990
173122744,12/31/2017,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,M,18,0,25-44,M,WHITE HISPANIC,987910.0,216657.0,40.76135734300000,-73.98678967300000
173129131,12/31/2017,258,"CRIMINAL MISCHIEF 4TH, GRAFFITI",351,CRIMINAL MISCHIEF & RELATED OFFENSES,PL 1456500,M,Q,104,0,18-24,F,WHITE,1008555.0,201367.0,40.71935745800010,-73.91232114100000
173129132,12/31/2017,681,"CHILD, ENDANGERING WELFARE",233,SEX CRIMES,PL 2601001,M,Q,101,0,25-44,M,BLACK,1053678.0,159044.0,40.60295159100010,-73.74997626100000
173129133,12/31/2017,779,"PUBLIC ADMINISTRATION,UNCLASSIFIED FELONY",126,MISCELLANEOUS PENAL LAW,PL 2155100,F,Q,115,0,25-44,M,WHITE HISPANIC,1021129.0,212565.0,40.75004970100010,-73.86689910300000
173130598,12/31/2017,793,WEAPONS POSSESSION 3,118,DANGEROUS WEAPONS,PL 2650201,F,M,7,2,25-44,M,WHITE HISPANIC,988733.0,198985.0,40.71285168700010,-73.98383060200000
173116544,12/31/2017,397,"ROBBERY,UNCLASSIFIED,OPEN AREAS",105,ROBBERY,PL 1601001,F,Q,114,0,18-24,F,WHITE HISPANIC,1006579.0,215870.0,40.75916979300010,-73.91940142000000
173117303,12/31/2017,779,"PUBLIC ADMINISTRATION,UNCLASSIFIED FELONY",126,MISCELLANEOUS PENAL LAW,PL 2155100,F,K,83,0,25-44,F,BLACK,1007128.0,193705.0,40.69833089400000,-73.91749507299990
173117306,12/31/2017,397,"ROBBERY,UNCLASSIFIED,OPEN AREAS",105,ROBBERY,PL 1601001,F,Q,114,0,25-44,F,WHITE,1006579.0,215870.0,40.75916979300010,-73.91940142000000
173117309,12/31/2017,750,RESISTING ARREST,359,OFFENSES AGAINST PUBLIC ADMINISTRATION,PL 2053000,M,Q,114,0,18-24,F,WHITE HISPANIC,1007550.0,219173.0,40.76823316900000,-73.91588499700000
173117788,12/31/2017,922,"TRAFFIC,UNCLASSIFIED MISDEMEAN",348,VEHICLE AND TRAFFIC LAWS,VTL0511001,M,M,34,0,25-44,M,BLACK,1006209.0,253743.0,40.863121541000100,-73.92061310100000
173121086,12/31/2017,244,"BURGLARY,UNCLASSIFIED,UNKNOWN TIME",107,BURGLARY,PL 1402000,F,Q,106,0,<18,M,WHITE,1028605.0,187930.0,40.68239828900010,-73.84007936900000
173121859,12/31/2017,339,"LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED",341,PETIT LARCENY,PL 1552500,M,M,14,0,25-44,M,WHITE,987220.0,212676.0,40.75043076800010,-73.98928217600000
173123522,12/31/2017,779,"PUBLIC ADMINISTRATION,UNCLASSIFIED FELONY",126,MISCELLANEOUS PENAL LAW,PL 215510B,F,K,62,0,25-44,M,ASIAN / PACIFIC ISLANDER,986344.0,160954.0,40.608465858000000,-73.99245988199990
173124317,12/31/2017,922,"TRAFFIC,UNCLASSIFIED MISDEMEAN",348,VEHICLE AND TRAFFIC LAWS,VTL0511001,M,M,23,0,25-44,M,BLACK,999569.0,227672.0,40.79157810700010,-73.94467820399990
173124322,12/31/2017,500,"CONTROLLED SUBSTANCE,POSSESS. 1",117,DANGEROUS DRUGS,PL 2202101,F,Q,105,0,25-44,F,WHITE HISPANIC,1050931.0,202071.0,40.72107185400010,-73.75944323600000
173126360,12/31/2017,339,"LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED",341,PETIT LARCENY,PL 1552500,M,K,71,0,45-64,F,BLACK,1003292.0,180090.0,40.66096989500010,-73.93136754499990
173126998,12/31/2017,109,"ASSAULT 2,1,UNCLASSIFIED",106,FELONY ASSAULT,PL 1200512,F,K,77,0,45-64,M,BLACK,993974.0,184839.0,40.674019979000000,-73.96494595800000
173128429,12/31/2017,109,"ASSAULT 2,1,UNCLASSIFIED",106,FELONY ASSAULT,PL 1200502,F,K,72,0,25-44,M,WHITE HISPANIC,979695.0,175314.0,40.647880118000000,-74.01641600300000
173128432,12/31/2017,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,M,32,2,25-44,M,WHITE HISPANIC,1000641.0,237827.0,40.81944886100010,-73.94078197700000
173129344,12/31/2017,503,"CONTROLLED SUBSTANCE,INTENT TO SELL 3",117,DANGEROUS DRUGS,PL 2201601,F,K,79,0,25-44,M,WHITE HISPANIC,996079.0,187562.0,40.681491437000000,-73.95735255400000
173130584,12/31/2017,793,WEAPONS POSSESSION 3,118,DANGEROUS WEAPONS,PL 2650201,F,K,83,0,25-44,M,BLACK HISPANIC,1007657.0,192892.0,40.696098015000100,-73.91559013399990
173165717,12/31/2017,792,WEAPONS POSSESSION 1 & 2,118,DANGEROUS WEAPONS,PL 2650802,F,B,47,0,<18,M,BLACK,1024906.0,263255.0,40.88916270800010,-73.85296022700000
173116156,12/31/2017,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,Q,110,0,25-44,F,BLACK HISPANIC,1020728.0,211337.0,40.74668081600000,-73.86835303700000
173116036,12/31/2017,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,M,7,0,25-44,M,WHITE,986760.0,200793.0,40.717814995000000,-73.99094683100000
173115849,12/31/2017,849,"NY STATE LAWS,UNCLASSIFIED VIOLATION",677,OTHER STATE LAWS,LOC000000V,V,K,69,1,45-64,M,BLACK HISPANIC,1011359.0,174331.0,40.645141680000000,-73.90231447799990
173121855,12/31/2017,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,M,14,0,25-44,M,BLACK,986685.0,215375.0,40.75783900300010,-73.99121211100000
173114458,12/31/2017,511,"CONTROLLED SUBSTANCE, POSSESSION 7",235,DANGEROUS DRUGS,PL 2200300,M,M,34,0,18-24,M,BLACK,1006854.0,254559.0,40.86535958600010,-73.91827848199990
173115844,12/31/2017,905,"INTOXICATED DRIVING,ALCOHOL",347,INTOXICATED & IMPAIRED DRIVING,VTL11920U2,M,K,70,0,25-44,M,BLACK,995708.0,176233.0,40.65039633400010,-73.95870942900000
173115847,12/31/2017,117,RECKLESS ENDANGERMENT 1,126,MISCELLANEOUS PENAL LAW,PL 1202500,F,K,77,0,25-44,M,BLACK HISPANIC,998951.0,186113.0,40.677509956000000,-73.94700085899990
173116147,12/31/2017,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,B,47,0,25-44,F,BLACK,1023210.0,257960.0,40.874637248000100,-73.859124964
173116153,12/31/2017,478,"THEFT OF SERVICES, UNCLASSIFIED",343,OTHER OFFENSES RELATED TO THEFT,PL 16515M9,M,M,32,0,18-24,M,BLACK HISPANIC,999428.0,236544.0,40.815929553000000,-73.94516735700000
173116273,12/31/2017,244,"BURGLARY,UNCLASSIFIED,UNKNOWN TIME",107,BURGLARY,PL 1402000,F,Q,106,0,<18,M,WHITE HISPANIC,1026310.0,186741.0,40.67914596100010,-73.84836140200000
173119694,12/31/2017,922,"TRAFFIC,UNCLASSIFIED MISDEMEAN",348,VEHICLE AND TRAFFIC LAWS,VTL0511001,M,M,30,0,18-24,M,WHITE HISPANIC,998981.0,242209.0,40.83147912800010,-73.94676981299990
173122735,12/31/2017,109,"ASSAULT 2,1,UNCLASSIFIED",106,FELONY ASSAULT,PL 1200502,F,B,44,0,65,M,WHITE HISPANIC,1008653.0,241418.0,40.82928663400000,-73.91182216800000
173114459,12/31/2017,793,WEAPONS POSSESSION 3,118,DANGEROUS WEAPONS,PL 2650201,F,M,23,0,25-44,M,BLACK,999042.0,228736.0,40.79449939700000,-73.946579075
173126365,12/31/2017,969,"TRAFFIC,UNCLASSIFIED INFRACTION",881,OTHER TRAFFIC INFRACTION,VTL051101A,M,M,23,0,18-24,M,BLACK,999769.0,228033.0,40.79256860600000,-73.94395508600000
173126371,12/31/2017,114,OBSTR BREATH/CIRCUL,344,ASSAULT 3 & RELATED OFFENSES,PL 1211100,M,Q,109,0,25-44,M,WHITE HISPANIC,1033684.0,216410.0,40.760541954000100,-73.82155789500000
173126372,12/31/2017,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,Q,109,0,25-44,F,WHITE HISPANIC,1033684.0,216410.0,40.760541954000100,-73.82155789500000
173127012,12/31/2017,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,Q,101,0,25-44,M,WHITE HISPANIC,1044074.0,156299.0,40.59548717900000,-73.78458649100000
173129353,12/31/2017,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,Q,102,0,45-64,M,ASIAN / PACIFIC ISLANDER,1029844.0,189279.0,40.68609468600010,-73.83560303300000
173134162,12/31/2017,750,RESISTING ARREST,359,OFFENSES AGAINST PUBLIC ADMINISTRATION,PL 2053000,M,Q,113,0,18-24,M,BLACK,1042726.0,185011.0,40.67430429500010,-73.78919156300000
173114448,12/31/2017,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,K,75,0,18-24,M,BLACK HISPANIC,1012247.0,185920.0,40.67694815100000,-73.89906646500000
173134151,12/31/2017,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,M,6,0,25-44,F,WHITE HISPANIC,981723.0,207457.0,40.736106051000000,-74.00911989199990
